Village,lz_code,lz_name
Bandlane SP,59305,South coast intensive open access cropping
Bendigo SP,59305,South coast intensive open access cropping
Cingweni SP,59305,South coast intensive open access cropping
Berea SP,59305,South coast intensive open access cropping
Adams Rural SP,59305,South coast intensive open access cropping
Mvuyane SP,59305,South coast intensive open access cropping
Mathunzi SP,59206,Open access low intensity rainfed cultivation
Cuphulaka SP,59206,Open access low intensity rainfed cultivation
Bazaneni SP,59206,Open access low intensity rainfed cultivation
Bhekindoda SP,59206,Open access low intensity rainfed cultivation
Ensolweni SP,59206,Open access low intensity rainfed cultivation
Bangiswa SP,59206,Open access low intensity rainfed cultivation
KwaZamaZama SP,59206,Open access low intensity rainfed cultivation
Mhlangandlovu SP,59206,Open access low intensity rainfed cultivation
Bumbaneni SP,59206,Open access low intensity rainfed cultivation
Emahlabathini SP,59206,Open access low intensity rainfed cultivation
Bhukhanana SP,59206,Open access low intensity rainfed cultivation
Bhejane SP,59206,Open access low intensity rainfed cultivation
Amakhilimba SP,59206,Open access low intensity rainfed cultivation
Abaqulusi NU,59206,Open access low intensity rainfed cultivation
Mpumulwana,59206,Open access low intensity rainfed cultivation
Bhokweni A SP,59206,Open access low intensity rainfed cultivation
Skombaren SP,59107,Inland open access livestock and other income
Emadlangeni NU,59107,Inland open access livestock and other income
Alcockspruit SP,59107,Inland open access livestock and other income
Aloekop SP,59107,Inland open access livestock and other income
Sikeshini SP,59107,Inland open access livestock and other income
Mkhomazana SP,59107,Inland open access livestock and other income
KwaLori SP,59107,Inland open access livestock and other income
Fairview,59107,Inland open access livestock and other income
Willowbrook SP,59107,Inland open access livestock and other income
Thendele SP,59107,Inland open access livestock and other income
Kupholeni SP,59107,Inland open access livestock and other income
Mpolweni SP,59107,Inland open access livestock and other income
Stratford SP,59107,Inland open access livestock and other income
Latha SP,59107,Inland open access livestock and other income
Mpanza SP,59107,Inland open access livestock and other income
Ezakheni SP,59107,Inland open access livestock and other income
Emawuza SP,59107,Inland open access livestock and other income
Doornkraal SP,59107,Inland open access livestock and other income
Bonjaneni SP,59107,Inland open access livestock and other income
Rensburgsdrift SP,59107,Inland open access livestock and other income
KwaManyinyi SP,59107,Inland open access livestock and other income
Blinkwater SP,59107,Inland open access livestock and other income
Crowsnest SP,59107,Inland open access livestock and other income
Bofulo SP,59209,Free State open access cattle and crops
Eureka SP,59209,Free State open access cattle and crops
Feloane Trust SP,59209,Free State open access cattle and crops
Gladstone SP,59209,Free State open access cattle and crops
Yorksford SP,59209,Free State open access cattle and crops
Mantsopa NU,59209,Free State open access cattle and crops
