DROP VIEW
CREATE VIEW
 ea_code  | province_name | district_name |  municipality_name   | main_place_name |    village_name    | village_code |                                 lz                                 | village_pop 
 52410110 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410111 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 59610001 | KwaZulu-Natal | Sisonke       | Greater Kokstad      | Aloekop         | Aloekop SP         |    596006001 | 59107: Inland open access livestock and other income (ZAOLO)       |         891
 59410179 | KwaZulu-Natal | Sisonke       | Ingwe                | Bethlehem       | Bethlehem SP       |    594022001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1209
 59410180 | KwaZulu-Natal | Sisonke       | Ingwe                | Bethlehem       | Bethlehem SP       |    594022001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1209
 59410224 | KwaZulu-Natal | Sisonke       | Ingwe                | Bethlehem       | Bethlehem SP       |    594022001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1209
 59410109 | KwaZulu-Natal | Sisonke       | Ingwe                | Sikeshini       | Sikeshini SP       |    594058001 | 59107: Inland open access livestock and other income (ZAOLO)       |         627
 59410110 | KwaZulu-Natal | Sisonke       | Ingwe                | Sikeshini       | Sikeshini SP       |    594058001 | 59107: Inland open access livestock and other income (ZAOLO)       |         627
 59510025 | KwaZulu-Natal | Sisonke       | Kwa Sani             | Mkhomazana      | Mkhomazana SP      |    595006001 | 59107: Inland open access livestock and other income (ZAOLO)       |         144
 59510031 | KwaZulu-Natal | Sisonke       | Kwa Sani             | Mqatsheni       | Mqatsheni SP       |    595002001 | 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |        1905
 59510032 | KwaZulu-Natal | Sisonke       | Kwa Sani             | Mqatsheni       | Mqatsheni SP       |    595002001 | 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |        1905
 59510034 | KwaZulu-Natal | Sisonke       | Kwa Sani             | Mqatsheni       | Mqatsheni SP       |    595002001 | 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |        1905
 59710159 | KwaZulu-Natal | Sisonke       | Ubuhlebezwe          | Amashaka        | Amashaka SP        |    597007001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1905
 59710161 | KwaZulu-Natal | Sisonke       | Ubuhlebezwe          | Amashaka        | Amashaka SP        |    597007001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1905
 59710162 | KwaZulu-Natal | Sisonke       | Ubuhlebezwe          | Amashaka        | Amashaka SP        |    597007001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1905
 59710106 | KwaZulu-Natal | Sisonke       | Ubuhlebezwe          | Bhobhobho       | Bhobhobho SP       |    597020001 | 59106: Coastal open access non-crop income (ZACNI)                 |         474
 59810330 | KwaZulu-Natal | Sisonke       | Umzimkhulu           | Cacadu          | Cacadu SP          |    598085001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |         423
 59810002 | KwaZulu-Natal | Sisonke       | Umzimkhulu           | KwaLori         | KwaLori SP         |    598230001 | 59107: Inland open access livestock and other income (ZAOLO)       |        1461
 59810003 | KwaZulu-Natal | Sisonke       | Umzimkhulu           | KwaLori         | KwaLori SP         |    598230001 | 59107: Inland open access livestock and other income (ZAOLO)       |        1461
 56510085 | KwaZulu-Natal | UMgungundlovu | Impendle             | Enguga          | Enguga SP          |    565013001 | 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |        2154
 56510091 | KwaZulu-Natal | UMgungundlovu | Impendle             | Enguga          | Enguga SP          |    565013001 | 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |        2154
 56510092 | KwaZulu-Natal | UMgungundlovu | Impendle             | Enguga          | Enguga SP          |    565013001 | 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |        2154
 56510010 | KwaZulu-Natal | UMgungundlovu | Impendle             | Willowbrook     | Willowbrook SP     |    565037001 | 59107: Inland open access livestock and other income (ZAOLO)       |         549
 56710022 | KwaZulu-Natal | UMgungundlovu | Mkhambathini         | Egulube         | Egulube SP         |    567027001 | 59106: Coastal open access non-crop income (ZACNI)                 |         768
 56710024 | KwaZulu-Natal | UMgungundlovu | Mkhambathini         | Mbila           | Mbila SP           |    567026001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1527
 56710039 | KwaZulu-Natal | UMgungundlovu | Mkhambathini         | Mbila           | Mbila SP           |    567026001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1527
 56710043 | KwaZulu-Natal | UMgungundlovu | Mkhambathini         | Mvuyane         | Mvuyane SP         |    567019001 | 59305: South coast intensive open access cropping (ZASCO)          |         843
 56410002 | KwaZulu-Natal | UMgungundlovu | Mpofana              | Thendele        | Thendele SP        |    564012001 | 59107: Inland open access livestock and other income (ZAOLO)       |        1119
 56810033 | KwaZulu-Natal | UMgungundlovu | Richmond             | Kupholeni       | Kupholeni SP       |    568008001 | 59107: Inland open access livestock and other income (ZAOLO)       |        4302
 56810035 | KwaZulu-Natal | UMgungundlovu | Richmond             | Kupholeni       | Kupholeni SP       |    568008001 | 59107: Inland open access livestock and other income (ZAOLO)       |        4302
 56810080 | KwaZulu-Natal | UMgungundlovu | Richmond             | Kupholeni       | Kupholeni SP       |    568008001 | 59107: Inland open access livestock and other income (ZAOLO)       |        4302
 56810081 | KwaZulu-Natal | UMgungundlovu | Richmond             | Kupholeni       | Kupholeni SP       |    568008001 | 59107: Inland open access livestock and other income (ZAOLO)       |        4302
 56810084 | KwaZulu-Natal | UMgungundlovu | Richmond             | Kupholeni       | Kupholeni SP       |    568008001 | 59107: Inland open access livestock and other income (ZAOLO)       |        4302
 56810003 | KwaZulu-Natal | UMgungundlovu | Richmond             | Mbila           | Mbila SP           |    568016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        2220
 56810007 | KwaZulu-Natal | UMgungundlovu | Richmond             | Mpofana         | Mpofana SP         |    568013001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1209
 56610245 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Deda            | Deda SP            |    566032001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        5223
 56610247 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Deda            | Deda SP            |    566032001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        5223
 56610248 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Deda            | Deda SP            |    566032001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        5223
 56610249 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Deda            | Deda SP            |    566032001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        5223
 56610232 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610233 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610234 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610235 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610236 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610237 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610238 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610750 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610751 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610752 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610753 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56610754 | KwaZulu-Natal | UMgungundlovu | The Msunduzi         | Zayeka          | Zayeka SP          |    566014001 | 59106: Coastal open access non-crop income (ZACNI)                 |        8742
 56310001 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56310002 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56310003 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56310004 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56310006 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56310009 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56310010 | KwaZulu-Natal | UMgungundlovu | uMngeni              | Cedarge         | Cedarge SP         |    563016001 | 59106: Coastal open access non-crop income (ZACNI)                 |        5874
 56210009 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Cuphulaka       | Cuphulaka SP       |    562038001 | 59206: Open access low intensity rainfed cultivation (ZALRC)       |        2079
 56210012 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Cuphulaka       | Cuphulaka SP       |    562038001 | 59206: Open access low intensity rainfed cultivation (ZALRC)       |        2079
 56210017 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Cuphulaka       | Cuphulaka SP       |    562038001 | 59206: Open access low intensity rainfed cultivation (ZALRC)       |        2079
 56210058 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210064 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210071 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210076 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210079 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210082 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210083 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Mpolweni        | Mpolweni SP        |    562025001 | 59107: Inland open access livestock and other income (ZAOLO)       |        6369
 56210112 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Swidi           | Swidi SP           |    562017001 | 59106: Coastal open access non-crop income (ZACNI)                 |        1677
 56210113 | KwaZulu-Natal | UMgungundlovu | uMshwathi            | Swidi           | Swidi SP           |    562017001 | 59106: Coastal open access non-crop income (ZACNI)                 |        1677
 50510006 | KwaZulu-Natal | Ugu           | Ezingoleni           | Bandlane        | Bandlane SP        |    505027001 | 59305: South coast intensive open access cropping (ZASCO)          |        2523
 50510008 | KwaZulu-Natal | Ugu           | Ezingoleni           | Bandlane        | Bandlane SP        |    505027001 | 59305: South coast intensive open access cropping (ZASCO)          |        2523
 50510009 | KwaZulu-Natal | Ugu           | Ezingoleni           | Bandlane        | Bandlane SP        |    505027001 | 59305: South coast intensive open access cropping (ZASCO)          |        2523
 50510068 | KwaZulu-Natal | Ugu           | Ezingoleni           | Blose           | Blose SP           |    505009001 | 59106: Coastal open access non-crop income (ZACNI)                 |         300
 50510078 | KwaZulu-Natal | Ugu           | Ezingoleni           | KwaMshiwa       | KwaMshiwa SP       |    505005001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1212
 50510079 | KwaZulu-Natal | Ugu           | Ezingoleni           | KwaMshiwa       | KwaMshiwa SP       |    505005001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1212
 50610472 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Bendigo         | Bendigo SP         |    506006001 | 59305: South coast intensive open access cropping (ZASCO)          |        1011
 50610475 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Bendigo         | Bendigo SP         |    506006001 | 59305: South coast intensive open access cropping (ZASCO)          |        1011
 50610476 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Hibberdene      | Fairview           |    506002005 | 59107: Inland open access livestock and other income (ZAOLO)       |        1608
 50610489 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Hibberdene      | Fairview           |    506002005 | 59107: Inland open access livestock and other income (ZAOLO)       |        1608
 50610481 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610482 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610483 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610484 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610485 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610486 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610487 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610488 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50610501 | KwaZulu-Natal | Ugu           | Hibiscus Coast       | Mgolemi         | Mgolemi SP         |    506011001 | 59106: Coastal open access non-crop income (ZACNI)                 |        9768
 50410144 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Bhidla          | Bhidla SP          |    504025001 | 59106: Coastal open access non-crop income (ZACNI)                 |         693
 50410145 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Bhidla          | Bhidla SP          |    504025001 | 59106: Coastal open access non-crop income (ZACNI)                 |         693
 50410174 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Cekeza          | Cekeza SP          |    504006001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1119
 50410175 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Cekeza          | Cekeza SP          |    504006001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1119
 50410045 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Cingweni        | Cingweni SP        |    504037001 | 59305: South coast intensive open access cropping (ZASCO)          |        2838
 50410055 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Cingweni        | Cingweni SP        |    504037001 | 59305: South coast intensive open access cropping (ZASCO)          |        2838
 50410057 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Cingweni        | Cingweni SP        |    504037001 | 59305: South coast intensive open access cropping (ZASCO)          |        2838
 50410058 | KwaZulu-Natal | Ugu           | UMuziwabantu         | Cingweni        | Cingweni SP        |    504037001 | 59305: South coast intensive open access cropping (ZASCO)          |        2838
 56110167 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110168 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110169 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110170 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110171 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110172 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110173 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110185 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110186 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 56110187 | KwaZulu-Natal | Ugu           | Umdoni               | aMahlongwa      | aMahlongwa SP      |    561002001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        7458
 50310197 | KwaZulu-Natal | Ugu           | Umzumbe              | Berea           | Berea SP           |    503053001 | 59305: South coast intensive open access cropping (ZASCO)          |         699
 50310198 | KwaZulu-Natal | Ugu           | Umzumbe              | Berea           | Berea SP           |    503053001 | 59305: South coast intensive open access cropping (ZASCO)          |         699
 50310028 | KwaZulu-Natal | Ugu           | Umzumbe              | Cathula         | Cathula SP         |    503072001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1791
 50310131 | KwaZulu-Natal | Ugu           | Umzumbe              | Cathula         | Cathula SP         |    503072001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1791
 50310132 | KwaZulu-Natal | Ugu           | Umzumbe              | Cathula         | Cathula SP         |    503072001 | 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |        1791
 50310114 | KwaZulu-Natal | Ugu           | Umzumbe              | Gumatane        | Gumatane SP        |    503084001 | 59106: Coastal open access non-crop income (ZACNI)                 |        1470
 50310115 | KwaZulu-Natal | Ugu           | Umzumbe              | Gumatane        | Gumatane SP        |    503084001 | 59106: Coastal open access non-crop income (ZACNI)                 |        1470
 50310117 | KwaZulu-Natal | Ugu           | Umzumbe              | Gumatane        | Gumatane SP        |    503084001 | 59106: Coastal open access non-crop income (ZACNI)                 |        1470
